dataset,model,f1_mean,f1_ci95,f1_formatted,is_best,boot_p,boot_p_holm,mcnemar_p,ttest_p
ASTD,marbert,0.665765,0.017169,0.666+/-0.017,1,-,-,-,-
ASTD,arabert,0.626162,0.004940,0.626+/-0.005,0,0.0444,0.0872,0.08284,0.002071
ASTD,egybert,0.600513,0.126676,0.601+/-0.127,0,0.0436,0.0872,0.1258,0.2001
AfriSenti_ARQ,marbert,0.691360,0.013804,0.691+/-0.014,1,-,-,-,-
AfriSenti_ARQ,dziribert,0.675703,0.006874,0.676+/-0.007,0,0.4776,0.4776,1,0.02696
AfriSenti_ARQ,arabert,0.614023,0.020597,0.614+/-0.021,0,0.0008,0.0016,0.0006674,0.002592
AfriSenti_ARY,marbert,0.532038,0.018894,0.532+/-0.019,1,-,-,-,-
AfriSenti_ARY,darijabert,0.511105,0.018834,0.511+/-0.019,0,0.0824,0.0824,0.1412,0.06498
AfriSenti_ARY,arabert,0.443298,0.052423,0.443+/-0.052,0,0,0,3.94e-29,0.02189
ArSAS,marbert,0.835086,0.007246,0.835+/-0.007,1,-,-,-,-
ArSAS,egybert,0.828320,0.002055,0.828+/-0.002,0,0.0012,0.0012,0.001074,0.06402
ArSAS,arabert,0.811274,0.004340,0.811+/-0.004,0,0,0,3.159e-06,0.001485
HARD,marbert,0.858607,0.004000,0.859+/-0.004,1,-,-,-,-
HARD,arabert,0.854880,0.004152,0.855+/-0.004,0,0.0028,0.0028,0.001727,0.09696
LABR,marbert,0.600969,0.009088,0.601+/-0.009,1,-,-,-,-
LABR,arabert,0.580298,0.014216,0.580+/-0.014,0,0.1808,0.1808,0.6104,0.05942
MACcorpus,marbert,0.899417,0.009525,0.899+/-0.010,1,-,-,-,-
MACcorpus,arabert,0.863002,0.007955,0.863+/-0.008,0,0,0,4.307e-08,0.0006642
MACcorpus,darijabert,0.861269,0.008312,0.861+/-0.008,0,0.0004,0.0004,0.0001243,0.0002947
