dataset,model,seed,macro_f1,accuracy
ASTD,arabert,42,0.625708,0.769072
ASTD,arabert,43,0.625084,0.777320
ASTD,arabert,44,0.621337,0.776289
ASTD,arabert,45,0.632379,0.777320
ASTD,arabert,46,0.626299,0.773196
ASTD,egybert,42,0.642583,0.776289
ASTD,egybert,43,0.659118,0.781443
ASTD,egybert,44,0.646470,0.783505
ASTD,egybert,45,0.635748,0.779381
ASTD,egybert,46,0.418647,0.757732
ASTD,marbert,42,0.660348,0.795876
ASTD,marbert,43,0.683757,0.800000
ASTD,marbert,44,0.654901,0.800000
ASTD,marbert,45,0.676998,0.811340
ASTD,marbert,46,0.652820,0.785567
AfriSenti_ARQ,arabert,42,0.623361,0.672234
AfriSenti_ARQ,arabert,43,0.614370,0.664927
AfriSenti_ARQ,arabert,44,0.585275,0.650313
AfriSenti_ARQ,arabert,45,0.621940,0.670146
AfriSenti_ARQ,arabert,46,0.625168,0.672234
AfriSenti_ARQ,dziribert,42,0.672918,0.721294
AfriSenti_ARQ,dziribert,43,0.670017,0.723382
AfriSenti_ARQ,dziribert,44,0.680630,0.729645
AfriSenti_ARQ,dziribert,45,0.682572,0.745303
AfriSenti_ARQ,dziribert,46,0.672377,0.735908
AfriSenti_ARQ,marbert,42,0.676190,0.726514
AfriSenti_ARQ,marbert,43,0.688791,0.723382
AfriSenti_ARQ,marbert,44,0.706413,0.746347
AfriSenti_ARQ,marbert,45,0.688996,0.734864
AfriSenti_ARQ,marbert,46,0.696407,0.732777
AfriSenti_ARY,arabert,42,0.463241,0.478217
AfriSenti_ARY,arabert,43,0.428663,0.438028
AfriSenti_ARY,arabert,44,0.442321,0.453563
AfriSenti_ARY,arabert,45,0.498175,0.519081
AfriSenti_ARY,arabert,46,0.384088,0.387031
AfriSenti_ARY,darijabert,42,0.515119,0.540358
AfriSenti_ARY,darijabert,43,0.532271,0.552516
AfriSenti_ARY,darijabert,44,0.513408,0.533604
AfriSenti_ARY,darijabert,45,0.491310,0.507937
AfriSenti_ARY,darijabert,46,0.503419,0.518068
AfriSenti_ARY,marbert,42,0.519866,0.537318
AfriSenti_ARY,marbert,43,0.531501,0.556569
AfriSenti_ARY,marbert,44,0.550408,0.560621
AfriSenti_ARY,marbert,45,0.514642,0.526174
AfriSenti_ARY,marbert,46,0.543771,0.567038
ArSAS,arabert,42,0.817040,0.829764
ArSAS,arabert,43,0.812030,0.823876
ArSAS,arabert,44,0.809861,0.823340
ArSAS,arabert,45,0.808638,0.821734
ArSAS,arabert,46,0.808801,0.816381
ArSAS,egybert,42,0.830163,0.840471
ArSAS,egybert,43,0.828325,0.839400
ArSAS,egybert,44,0.829251,0.837794
ArSAS,egybert,45,0.825742,0.835118
ArSAS,egybert,46,0.828120,0.835653
ArSAS,marbert,42,0.834073,0.842077
ArSAS,marbert,43,0.834668,0.843148
ArSAS,marbert,44,0.843031,0.852784
ArSAS,marbert,45,0.836862,0.846895
ArSAS,marbert,46,0.826794,0.837794
HARD,arabert,42,0.857511,0.868703
HARD,arabert,43,0.853881,0.865856
HARD,arabert,44,0.849520,0.859286
HARD,arabert,45,0.857491,0.868375
HARD,arabert,46,0.855996,0.867389
HARD,marbert,42,0.863662,0.875821
HARD,marbert,43,0.858396,0.870018
HARD,marbert,44,0.857776,0.869032
HARD,marbert,45,0.858494,0.870784
HARD,marbert,46,0.854707,0.866294
LABR,arabert,42,0.588770,0.626491
LABR,arabert,43,0.580433,0.631175
LABR,arabert,44,0.585483,0.629898
LABR,arabert,45,0.586257,0.626917
LABR,arabert,46,0.560545,0.613714
LABR,marbert,42,0.603188,0.638416
LABR,marbert,43,0.603088,0.639267
LABR,marbert,44,0.595252,0.635434
LABR,marbert,45,0.592405,0.627768
LABR,marbert,46,0.610910,0.643952
MACcorpus,arabert,42,0.851855,0.875069
MACcorpus,arabert,43,0.868129,0.891691
MACcorpus,arabert,44,0.865333,0.888825
MACcorpus,arabert,45,0.864011,0.887679
MACcorpus,arabert,46,0.865682,0.887679
MACcorpus,darijabert,42,0.855140,0.877280
MACcorpus,darijabert,43,0.858948,0.881150
MACcorpus,darijabert,44,0.869586,0.889442
MACcorpus,darijabert,45,0.855543,0.876727
MACcorpus,darijabert,46,0.867129,0.886678
MACcorpus,marbert,42,0.898227,0.912659
MACcorpus,marbert,43,0.907274,0.924928
MACcorpus,marbert,44,0.903008,0.915423
MACcorpus,marbert,45,0.886983,0.902709
MACcorpus,marbert,46,0.901595,0.915423
